country,alcohol_type,servings
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Seychelles,spirit_servings,25
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Sierra Leone,spirit_servings,3
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Singapore,spirit_servings,12
Slovakia,spirit_servings,293
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Slovenia,spirit_servings,51
Solomon Islands,spirit_servings,11
Solomon Islands,spirit_servings,11
Solomon Islands,spirit_servings,11
Solomon Islands,spirit_servings,11
Solomon Islands,spirit_servings,11
Solomon Islands,spirit_servings,11
Solomon Islands,spirit_servings,11
Solomon Islands,spirit_servings,11
